"cubic_ft","total","color","county","parish"
2298.29,330.27,"rgb(20,137,64)","Manhattan","St. Bartholomew's - Church Manhattan"
501.041,196.57,"rgb(4,130,66)","Manhattan","St. James - Church Manhattan"
123.5,310.62,"rgb(105,172,56)","Manhattan","Heavenly Rest Manhattan"
1319.639,197.73,"rgb(159,193,51)","Manhattan","St. Michael - Church Manhattan"
257.653,93.09,"rgb(0,14,7)","Westchester & Bronx","St. Matthew - Church Bedford"
20.9,26.54,"rgb(0,129,66)","Westchester & Bronx","St. Bartholomew - Church White Plains"
69.634,23.67,"rgb(0,79,41)","Westchester & Bronx","St. Francis & St. Martha - Church White Plains"
199,46.75,"rgb(169,197,50)","Northern Counties","Grace Church Middletown"
27.549,195.27,"rgb(176,200,49)","Manhattan","Intercession Manhattan"
175.1,40.74,"rgb(142,187,52)","Westchester & Bronx","St. Luke - Church Bronx"
22.464,86.9,"rgb(171,198,50)","Westchester & Bronx","St. James - Church (Fordham) Bronx"
221.96,41.74,"rgb(176,200,49)","Northern Counties","St. Stephen - Church Pearl River"
177.157,6.58,"rgb(114,175,55)","Northern Counties","St. George - Church Newburgh"
153.8,46.43,"rgb(47,61,17)","Northern Counties","Grace Church Millbrook"
105.725,41.17,"rgb(177,201,49)","Northern Counties","Trinity Church Garnerville"
5.3,27.61,"rgb(4,15,6)","Northern Counties","Christ the King Stone Ridge"
194.922,26.75,"rgb(1,10,5)","Northern Counties","Holy Innocents - St. Mark`s Chapel Highland Falls"
71.8,88,"rgb(177,200,49)","Manhattan","Eglise Française du Saint-Esprit Manhattan"
69.682,17.91,"rgb(0,13,6)","Northern Counties","St. Paul - Church Pleasant Valley"
226.36,16.79,"rgb(171,198,50)","Northern Counties","St. John - Church New City"
54.523,26.31,"rgb(131,149,37)","Northern Counties","Ascension & Holy Trinity Church West Park"
518.282,19.34,"rgb(175,200,49)","Northern Counties","Trinity Church Fishkill"
115.894,18.68,"rgb(179,201,49)","Northern Counties","Trinity Church Saugerties"
37.8,22.81,"rgb(0,5,2)","Westchester & Bronx","Good Shepherd Granite Springs"
95,21.87,"rgb(4,9,3)","Northern Counties","St. James - Church Callicoon"
31,6.46,"rgb(0,9,5)","Northern Counties","St. Andrew - Church South Fallsburg"
